"region","Freq"
"USA","620"
"GERMANY","342"
"UK","244"
"CHINA","240"
"ITALY","205"
"SPAIN","188"
"FRANCE","186"
"FINLAND","148"
"NETHERLANDS","138"
"CANADA","101"
"AUSTRIA","95"
"AUSTRALIA","69"
"BRAZIL","63"
"SWEDEN","62"
"SWITZERLAND","62"
"PORTUGAL","50"
"GREECE","42"
"IRELAND","39"
"BELGIUM","37"
"DENMARK","31"
"JAPAN","29"
"ISRAEL","27"
"CZECH REPUBLIC","26"
"POLAND","25"
"ROMANIA","24"
"UKRAINE","24"
"INDIA","23"
"SINGAPORE","23"
"NORWAY","19"
"ESTONIA","17"
"SLOVENIA","16"
"ARGENTINA","15"
"LUXEMBOURG","15"
"SOUTH KOREA","15"
"THAILAND","15"
"CROATIA","14"
"BULGARIA","12"
"SOUTH AFRICA","12"
"INDONESIA","11"
"MEXICO","11"
"CHILE","9"
"LATVIA","9"
"ECUADOR","8"
"HUNGARY","8"
"SLOVAKIA","8"
"NIGERIA","7"
"SERBIA","7"
"TURKEY","7"
"MALAYSIA","6"
"COLOMBIA","5"
"NEW ZEALAND","5"
"KENYA","3"
"LEBANON","3"
"CUBA","2"
"JORDAN","2"
"LITHUANIA","2"
"NAMIBIA","2"
"SAUDI ARABIA","2"
"BAHRAIN","1"
"CYPRUS","1"
"GEORGIA","1"
"KAZAKHSTAN","1"
"MAURITIUS","1"
"MONGOLIA","1"
"OMAN","1"
"PHILIPPINES","1"
"SAN MARINO","1"
"TUNISIA","1"
